Nom,Description,Type_Traitement,Condition_Medicale,Population_Etudiee,Duree_Etude,Risque_Absolu_Groupe_Controle,Risque_Absolu_Groupe_Intervention,Risque_Relatif,Benefices,Effets_Secondaires,Source_Etude
Étude longitudinale ÉTUDIANT-E-S,Analyse des comportements à risque chez les étudiantEs de l'UNIGE et de la HES-SO Genève.,Observationnelle,Comportements à risque,"1'544 étudiantEs (UNIGE N=914, HES-SO N=640)",Vague 2019,Cluster 1 (Prudents): 67% des étudiantEs,Cluster 2 (Comportements à risque): 33% des étudiantEs,,Meilleure perception de la santé psychique chez les Comportements à risque,Augmentation des comportements à risque avec l'âge jusqu'à 30 ans; Plus de blessures lors de sports extrêmes dans le groupe Comportements à risque,OVE Enquête Santé 2019
Comportements à risque selon les Clusters,Comparaison des comportements à risque entre deux groupes d'étudiantEs (Prudents et Comportements à risque).,Comparative,Comportements à risque,"Cluster 1 (N=1042), Cluster 2 (N=511)",,Cluster 1: 59% boivent 1-2 verres; 50% jamais 4-5 verres; 100% jamais sports extrêmes,Cluster 2: 50% boivent 1-2 verres; 40% jamais 4-5 verres; 81% rarement à souvent sports extrêmes,,Cluster 2 a une meilleure perception de la santé psychique,Cluster 2 a plus de blessures lors de sports extrêmes; Plus de consommation de substances,OVE Enquête Santé 2019
Prise de médicaments selon la variable Cluster,Comparaison de la prise de tranquillisants et antidépresseurs entre les groupes Prudents et Comportements à risque.,Observationnelle,Prise de tranquillisants et antidépresseurs,Étudiants,,"Prudents: 926 jamais pris tranquillisants, 983 jamais pris antidépresseurs","Comportements à risque: 443 jamais pris tranquillisants, 474 jamais pris antidépresseurs",,,Prise fréquente en automédication,OVE Enquête Santé 2019
Consommation de compléments alimentaires,"Comparaison de la consommation de vitamines, protéines, corticoïdes et magnésium entre les groupes Prudents et Comportements à risque.",Observationnelle,Consommation de compléments alimentaires,Étudiants,,"Prudents: 531 jamais pris vitamines, 803 jamais pris protéines, 880 jamais pris corticoïdes, 676 jamais pris magnésium","Comportements à risque: 255 jamais pris vitamines, 360 jamais pris protéines, 405 jamais pris corticoïdes, 317 jamais pris magnésium",,,,OVE Enquête Santé 2019
Consultations chez un professionnel de la santé,Nombre de consultations chez un professionnel de la santé au cours des six derniers mois selon la variable Cluster.,Observationnelle,Consultations médicales,Étudiants,6 mois,"Prudents: 251 jamais, 434 1-2 fois","Comportements à risque: 133 jamais, 220 1-2 fois",,,,OVE Enquête Santé 2019
Consultations au service des urgences,Nombre de consultations au service des urgences durant les douze derniers mois selon la variable Cluster.,Observationnelle,Consultations d'urgence,Étudiants,12 mois,"Prudents: 784 jamais, 223 1-2 fois","Comportements à risque: 359 jamais, 125 1-2 fois",,,,OVE Enquête Santé 2019
Intérêt pour une consultation spécialisée,Intérêt pour une consultation avec des professionnels de la santé spécialisés pour les jeunes adultes et lors de l'entrée à l'UNIGE/HES-SO.,Observationnelle,Intérêt pour consultations médicales,Étudiants,,"Prudents: 350 tout à fait intéressés pour jeunes adultes, 367 pour entrée UNIGE/HES-SO","Comportements à risque: 182 tout à fait intéressés pour jeunes adultes, 196 pour entrée UNIGE/HES-SO",,,,OVE Enquête Santé 2019
Consommation d'alcool,Nombre de verres standards bus au cours d'une journée ordinaire selon la variable Cluster.,Observationnelle,Consommation d'alcool,Étudiants,,"Prudents: 445 ne boit pas, 350 1-2 verres","Comportements à risque: 198 ne boit pas, 153 1-2 verres",,,,OVE Enquête Santé 2019
Blessures lors de sports à risque,Blessé lors de la pratique de sport à recherche de sensation extrême selon la variable Cluster.,Observationnelle,Sports à risque,Étudiants,,Prudents: 0% blessés,Comportements à risque: 29% blessés,,Identification des comportements à risque; Prévention ciblée possible; Sensibilisation aux équipements de protection; Les étudiants prudents évitent 100% des blessures,Blessures lors de sports à risque,OVE Enquête Santé 2019
Expériences avec préservatif rompu et contraception d'urgence,Expériences avec préservatif rompu et utilisation de la contraception d'urgence selon la variable Cluster.,Observationnelle,Utilisation de préservatifs et contraception d'urgence,Étudiants,,"Prudents: 790 jamais préservatif rompu, 714 jamais contraception d'urgence","Comportements à risque: 357 jamais préservatif rompu, 294 jamais contraception d'urgence",,Identification des besoins en éducation sexuelle; Amélioration de l'accès aux moyens de contraception; Données pour campagnes de prévention IST,Plus d'expériences avec préservatifs rompus et recours à la contraception d'urgence,OVE Enquête Santé 2019
