Nom,Description,Type_Traitement,Condition_Medicale,Population_Etudiee,Duree_Etude,Risque_Absolu_Groupe_Controle,Risque_Absolu_Groupe_Intervention,Risque_Relatif,Benefices,Effets_Secondaires,Source_Etude
Etu2019-enquete-sante-risque_p10_15,"Tableau de type 'general' avec 22 lignes et 26 colonnes. Colonnes: Unnamed: 0, 146, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 21 autres colonnes",general,,,,,,,"Unnamed: 0: 9.0, 2.0; 146: 321.0, 5.0, 30.0, 18.0, 143.0; Unnamed: 2: 3.0, 441.0, 17.0",,tables_csv\Etu2019-enquete-sante-risque_p10_15.csv
Etu2019-enquete-sante-risque_p11_16,"Tableau de type 'general' avec 14 lignes et 10 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3, 461 ... et 5 autres colonnes",general,,,,,,,,,tables_csv\Etu2019-enquete-sante-risque_p11_16.csv
Etu2019-enquete-sante-risque_p11_17,"Tableau de type 'general' avec 14 lignes et 14 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, 255, Unnamed: 3, Unnamed: 4 ... et 9 autres colonnes",general,,,,,,,255: 531.0,,tables_csv\Etu2019-enquete-sante-risque_p11_17.csv
Etu2019-enquete-sante-risque_p12_18,"Tableau de type 'general' avec 2 lignes et 11 colonnes. Colonnes: 251, Unnamed: 1, Unnamed: 2, Unnamed: 3, 434 ... et 6 autres colonnes",general,,,,,,,251: 133.0,,tables_csv\Etu2019-enquete-sante-risque_p12_18.csv
Etu2019-enquete-sante-risque_p12_19,"Tableau de type 'general' avec 2 lignes et 8 colonnes. Colonnes: Unnamed: 0, 359, Unnamed: 2, Unnamed: 3, Unnamed: 4 ... et 3 autres colonnes",general,,,,,,,359: 78.0; Unnamed: 2: 4.0,,tables_csv\Etu2019-enquete-sante-risque_p12_19.csv
Etu2019-enquete-sante-risque_p12_20,"Tableau de type 'general' avec 6 lignes et 13 colonnes. Colonnes: Unnamed: 0, 18, 2, Unnamed: 3, Unnamed: 4 ... et 8 autres colonnes",general,,,,,,,"18: 350.0, 19.0, 36.0; 2: 6.0, 7.0",,tables_csv\Etu2019-enquete-sante-risque_p12_20.csv
Etu2019-enquete-sante-risque_p13_21,"Tableau de type 'general' avec 11 lignes et 3 colonnes. Colonnes: 55, Unnamed: 1, Unnamed: 2",general,,,,,,,"55: 168.0, 350.0, 445.0; Unnamed: 2: 48.0, 89.0, 153.0, 198.0",,tables_csv\Etu2019-enquete-sante-risque_p13_21.csv
Etu2019-enquete-sante-risque_p13_22,"Tableau de type 'general' avec 10 lignes et 3 colonnes. Colonnes: 85, Unnamed: 1, 23",general,,,,,,,"85: 182.0, 220.0, 519.0; 23: 66.0, 82.0, 130.0, 201.0",,tables_csv\Etu2019-enquete-sante-risque_p13_22.csv
Etu2019-enquete-sante-risque_p13_23,"Tableau de type 'general' avec 9 lignes et 3 colonnes. Colonnes: Unnamed: 0, Unnamed: 1, 8",general,,,,,,,"Unnamed: 0: 1041.0; 8: 243.0, 155.0, 94.0",,tables_csv\Etu2019-enquete-sante-risque_p13_23.csv
Etu2019-enquete-sante-risque_p14_24,Tableau de type 'general' avec 9 lignes et 1 colonnes. Colonnes: Unnamed: 0,general,,,,,,,"Unnamed: 0: 127.0, 320.0",,tables_csv\Etu2019-enquete-sante-risque_p14_24.csv
